1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
2, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
3, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
5, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
6, badlands, minecraft:badlands, MONSTER, minecraft:witch, 10, 1, 1
7, badlands, minecraft:badlands, MONSTER, creeperoverhaul:badlands_creeper, 75, 2, 2
8, badlands, minecraft:badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 4
9, badlands, minecraft:badlands, MONSTER, rottencreatures:undead_miner, 20, 1, 4
10, badlands, minecraft:badlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
11, badlands, minecraft:badlands, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
12, badlands, minecraft:badlands, CREATURE, naturalist:rattlesnake, 10, 1, 1
13, badlands, minecraft:badlands, CREATURE, naturalist:vulture, 15, 2, 4
14, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
15, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
16, badlands, minecraft:badlands, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:pupfish, 10, 0, 1
17, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
18, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
19, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
20, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
21, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
22, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
23, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 10, 1, 1
24, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
25, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
26, jungle, minecraft:bamboo_jungle, MONSTER, rottencreatures:undead_miner, 20, 1, 4
27, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
28, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
29, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
30, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
31, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
32, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 10, 4, 4
33, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
34, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
35, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
36, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:coral_snake, 10, 1, 1
37, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:hippo, 15, 3, 4
38, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:lizard, 15, 1, 2
39, jungle, minecraft:bamboo_jungle, CREATURE, naturalist:tortoise, 10, 1, 3
40, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
41, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
42, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:african_butterflyfish, 10, 1, 1
43, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:danio, 10, 2, 3
44, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:discus, 10, 1, 1
45, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:golden_dorado, 10, 1, 1
46, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:gourami, 10, 1, 1
47, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:oscar, 10, 1, 1
48, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:piranha, 10, 4, 8
49, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:pleco, 10, 1, 2
50, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:tetra, 10, 2, 3
51, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:tiger_barb, 10, 2, 3
52, jungle, minecraft:bamboo_jungle, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:vampire_crab, 10, 1, 2
53, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
54, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
55, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 10, 1, 4
56, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
57, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
58, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
59, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
60, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
61, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
62, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
63, beach, minecraft:beach, MONSTER, minecraft:witch, 10, 1, 1
64, beach, minecraft:beach, MONSTER, creeperoverhaul:beach_creeper, 75, 2, 2
