"ID","Name","Description","Parent"
"exposure:adventure/composite_confounded_compound","[Composite Confounded Compound]","Get a Photograph created with Chromatic process","exposure:adventure/moment_in_time"
"exposure:adventure/exposed_paparazzi","[Exposed Paparazzi]","Forget to turn off the Flash while sneakily photographing a Villager","exposure:adventure/lights_up"
"exposure:adventure/exposure","[Exposure]","Use Camera to expose a Film frame","-"
"exposure:adventure/lights_up","[Lights Up!]","Use flash when taking a photograph in the dark","exposure:adventure/spotlight"
"exposure:adventure/moment_in_time","[A Moment in Time]","Get a Photograph","exposure:adventure/exposure"
"exposure:adventure/photos_of_spider_man","[I need photos of Spider...Man?]","Photograph a Spider Jockey","exposure:adventure/unforeseen_consequences"
"exposure:adventure/piercing_gaze","[A Piercing Gaze]","Use Interplanar Projector to capture an image from another plane","exposure:adventure/exposure"
"exposure:adventure/spooky_silly_skeletons","[Spooky Silly Skeletons]","Get a Photograph with a peculiar Skeleton on it","exposure:adventure/composite_confounded_compound"
"exposure:adventure/spotlight","[Was that a spotlight? On me?]","Take a selfie using third-person view","exposure:adventure/exposure"
"exposure:adventure/unforeseen_consequences","[Unforeseen Consequences]","Anger an Enderman by taking a photograph of him","exposure:adventure/exposed_paparazzi"
"exposure:adventure/void","[It's a Brilliant Surface in That Void!]","Take a Photograph in the End","exposure:adventure/lights_up"
"exposure:adventure/wildlife_archivist","[Wildlife Archivist]","Photograph every wild animal","exposure:adventure/exposure"
"inmis:baby_backpack","[Goody Bag]","Perfect for party gifts!","inmis:frayed_backpack"
"inmis:bejeweled_backpack","[Cover Me With Various Gems]","Stick some rare gems on your Gilded Backpack to make it even shinier!","inmis:gilded_backpack"
"inmis:blazing_backpack","[Fiery Alternatives]","Plate your backpack with Netherite to make it immune to fire & lava.","inmis:bejeweled_backpack"
"inmis:ender_pouch","[Ender Access]","Sticking your hand inside this bag makes it appear inside your Enderchest...","inmis:frayed_backpack"
"inmis:endless_backpack","[The End]","Obtain the ultimate backpack, fueled by the power of The End.","inmis:withered_backpack"
"inmis:frayed_backpack","[Backpack Beginnings]","It's not much, but it's mine! Craft a Frayed Backpack to expand your inventory space.","-"
"inmis:gilded_backpack","[Gilded Expansions]","Enhance your Plated Backpack by plating it with gold. Shiny!","inmis:plated_backpack"
"inmis:plated_backpack","[Leveling Up]","Surround your Frayed Backpack with Iron Ingots to expand its storage capabilities.","inmis:frayed_backpack"
"inmis:withered_backpack","[Withering Expanse]","Enhance your shiny backpack with a trophy obtained by the desolate king.","inmis:bejeweled_backpack"
"naturalist:feed_bear_honeycomb","[Oh Bother]","Feed a Honeycomb to a Bear","spectral_seas:seamanship/on_foreign_shores"
"naturalist:feed_hippo_melon","[Hungry Hungry Hippos]","Feed a Melon to a Hippo","spectral_seas:seamanship/on_foreign_shores"
"naturalist:ride_giraffe_with_map","[A Whole New World]","Use a Map while riding a Giraffe","spectral_seas:seamanship/on_foreign_shores"
"regrowth:rgroot/offlimits","[Off Limits!]","Villagers won't build walls on village roads (like grass paths)!","regrowth:rgroot/rgroot"
"regrowth:rgroot/rgroot","[Regrowth Lore]","Pick up some Leaves, a wall, and a Stone Shovel to learn more.","-"
"regrowth:rgroot/saferhedges","[Safer Hedges!]","Villagers will not cut leaf blocks you place.  Your hedge mazes are safe!","regrowth:rgroot/rgroot"
