"ID","Registry name","Tags"
0,"minecraft:badlands","minecraft:has_structure/mineshaft_mesa, rottencreatures:can_undead_miner_spawn_on, mostructures:collections/badlands, minecraft:spawns_warm_variant_frogs, c:is_dry/overworld, wabi_sabi_structures:has_structure/badlands_dwelling, nova_structures:collections/badlands, c:is_badlands, towns_and_towers:has_structure/pillager_outpost_badlands, minecraft:has_structure/stronghold, c:mesa, c:badlands, forsaken:has_structure/homes/western, minecraft:snow_golem_melts, c:is_hot/overworld, totw_reworked:has_structure/regular_tower, betterstrongholds:has_structure/better_stronghold, c:climate_hot, spectral_seas:no_amethyst, supplementaries:has_cave_urns, c:is_overworld, supplementaries:has_wild_flax, supplementaries:has_way_signs, c:in_overworld, wabi_sabi_structures:has_structure/water_tower_dark_oak, c:is_dry, nova_structures:collections/overworld, c:is_sandy, endermanoverhaul:cave_spawns, endermanoverhaul:all_spawns, nova_structures:illager_hideout, minecraft:is_badlands, endermanoverhaul:badlands_spawns, wabi_sabi_structures:has_structure/muddy_badlands_well, spectrum:colored_trees_generating_in, philipsruins:has_structure/badlands_structures_biomes, naturalist:has_vulture, philipsruins:has_structure/ancient_pyramid_biomes, spectrum:has_structure/preservation_ruins, formationsoverworld:has_structure/meteor, towns_and_towers:has_structure/village_badlands_pueblo, minecraft:stronghold_biased_to, spectrum:dragonbone_fossils_generating_in, nova_structures:collections/illager_camps, c:climate_dry, totw_reworked:has_structure/derelict_tower, naturalist:has_rattlesnake, philipsruins:has_structure/ancient_dungeon_biomes, minecraft:is_overworld, c:is_hot"
1,"minecraft:bamboo_jungle","minecraft:spawns_warm_variant_frogs, philipsruins:has_structure/ancient_dungeon_biomes, wabi_sabi_structures:has_structure/memorial_of_tonkis, formationsoverworld:has_structure/large_temple, philipsruins:has_structure/field_stone_ruins_rocks_biomes, naturalist:has_coral_snake, formationsoverworld:has_structure/small_house, hybrid-aquatic:jungle, supplementaries:has_way_signs, nova_structures:collections/overworld, minecraft:has_structure/portal_deepslate, betterstrongholds:has_structure/better_stronghold, minecraft:is_overworld, spectrum:colored_trees_generating_in, philipsruins:has_structure/lost_soul_city_biomes, nova_structures:collections/giant_trees, c:is_tree/jungle, c:is_hot, nova_structures:collections/light_jungles, c:tree_jungle, formationsoverworld:has_structure/bamboo_hut, philipsruins:has_structure/start_nether_ruin_biomes, minecraft:stronghold_biased_to, c:climate_wet, c:is_dense_vegetation, wabi_sabi_structures:has_structure/bat_monolith, totw_reworked:has_structure/jungle_tower, mvs:has_structure/jungle_biomes, c:in_overworld, formationsoverworld:has_structure/small_temple, philipsruins:has_structure/bone_dungeon_biomes, c:vegetation_dense, nova_structures:collections/illager_camps, naturalist:has_lizard, spectral_seas:no_amethyst, c:is_wet/overworld, c:is_wet, frycmobvariants:explorer_spawn_biomes, naturalist:has_hippo, c:is_rare, supplementaries:has_cave_urns, mostructures:collections/jungles, mvs:has_structure/overworld_biomes, wabi_sabi_structures:has_structure/bamboo_firework_site, minecraft:has_structure/jungle_temple, c:is_jungle, minecraft:has_structure/mineshaft, spectrum:has_structure/pedestal_ruins, c:is_hot/overworld, formationsoverworld:has_structure/meteor, formationsoverworld:has_structure/mesoamerican_temple, c:jungle, mostructures:has_structure/jungle_pyramid, formationsoverworld:has_structure/fountain, formationsoverworld:has_structure/tiny_house, nova_structures:illager_hideout, wabi_sabi_structures:has_structure/monster_egg, naturalist:has_tortoise, spectrum:has_structure/preservation_ruins, supplementaries:has_wild_flax, nova_structures:collections/jungles, c:is_overworld, minecraft:has_structure/stronghold, frycmobvariants:tropical_spider_spawn_biomes, mostructures:collections/giant_trees, formationsoverworld:has_structure/witch_tower, c:climate_hot, rottencreatures:can_undead_miner_spawn_on, minecraft:increased_fire_burnout, c:is_dense_vegetation/overworld, minecraft:is_jungle"
2,"minecraft:basalt_deltas","c:is_hot, c:is_nether, c:is_dry, wabi_sabi_structures:has_structure/obsidian_egg, minecraft:has_structure/ruined_portal_nether, c:is_hot/nether, supplementaries:has_basalt_ash, mostructures:collections/nether_basalts, minecraft:is_nether, minecraft:spawns_warm_variant_frogs, c:is_dry/overworld, c:is_dry/nether, nova_structures:collections/nether_basalts, c:in_nether, mostructures:collections/nether, minecraft:has_structure/nether_fortress, wabi_sabi_structures:has_structure/basalt_castle, minecraft:snow_golem_melts, c:is_hot/overworld, nova_structures:collections/nether, philipsruins:has_structure/nether_structures_biomes, c:climate_hot, c:climate_dry, mvs:has_structure/nether_biomes, philipsruins:has_structure/start_nether_dungeon_biomes"
3,"minecraft:beach","c:is_wet/overworld, hybrid-aquatic:sandy_beaches, mostructures:has_structure/the_castle_in_the_sky, towns_and_towers:has_structure/pillager_outpost_beach, c:beach, wabi_sabi_structures:has_structure/lost_foot, nova_structures:illager_hideout, spectrum:has_structure/pedestal_ruins, c:is_overworld, wabi_sabi_structures:has_structure/bat_monolith, minecraft:has_structure/shipwreck_beached, c:is_sandy, supplementaries:has_way_signs, minecraft:has_structure/buried_treasure, nova_structures:collections/overworld, minecraft:has_structure/stronghold, supplementaries:has_cave_urns, spectral_seas:no_amethyst, minecraft:is_overworld, c:is_wet, mostructures:has_structure/air_balloon, c:is_beach, spectrum:has_structure/preservation_ruins, mostructures:has_structure/lighthouse, towns_and_towers:has_structure/village_beach_lighthouse, minecraft:has_structure/portal_deepslate, rottencreatures:can_dead_beard_spawn_on, c:in_overworld, minecraft:is_beach, wabi_sabi_structures:has_structure/monster_egg, wabi_sabi_structures:has_structure/lighthouse, pesky_seagulls:seagull_spawn_biomes, supplementaries:has_wild_flax, nova_structures:collections/beaches, mvs:has_structure/beach_biomes, hybrid-aquatic:bottle_spawn_biomes, philipsruins:has_structure/ancient_dungeon_biomes, mostructures:has_structure/moai, nova_structures:collections/illager_camps, minecraft:has_structure/mineshaft, naturalist:has_coral_snake, mostructures:collections/beaches, rottencreatures:can_undead_miner_spawn_on, frycmobvariants:corsair_spawn_biomes"
4,"minecraft:birch_forest","formationsoverworld:has_structure/small_statue, formationsoverworld:has_structure/offering, nova_structures:illager_hideout, nova_structures:collections/illager_camps, naturalist:has_snail, supplementaries:has_cave_urns, nova_structures:has_structure/ruin_town, rottencreatures:can_undead_miner_spawn_on, c:is_temperate/overworld, formationsoverworld:has_structure/stone_tower, formationsoverworld:has_structure/graveyard, minecraft:is_overworld, c:forest, c:climate_temperate, wabi_sabi_structures:has_structure/birch_mushroom_cave, formationsoverworld:has_structure/meteor, forsaken:has_structure/wells/pump/cobble, mostructures:collections/birch_forests, formationsoverworld:has_structure/witch_tower, formationsoverworld:has_structure/log_shelter, philipsruins:has_structure/field_stone_ruins_rocks_biomes, philipsruins:has_structure/bone_dungeon_biomes, formationsoverworld:has_structure/hobbit_hole, mostructures:has_structure/villager_market, nova_structures:collections/birch_forests, formationsoverworld:has_structure/well, wabi_sabi_structures:has_structure/bat_monolith, formationsoverworld:has_structure/copper_spire, mostructures:has_structure/villager_tower, spectral_seas:no_amethyst, minecraft:stronghold_biased_to, mostructures:has_structure/tavern, naturalist:has_bear, naturalist:has_snake, formationsoverworld:has_structure/log_spikes, philipsruins:has_structure/ancient_ruins_biomes, supplementaries:has_wild_flax, c:in_overworld, spectrum:colored_trees_generating_in, formationsoverworld:has_structure/tower_remnant, c:is_temperate, spectrum:has_structure/preservation_ruins, mostructures:has_structure/killer_bunny_castle, minecraft:has_structure/stronghold, c:is_tree/deciduous, nova_structures:collections/stronghold_related_ruins_biomes, naturalist:has_boar, naturalist:has_cardinal, c:is_birch_forest, c:is_forest, totw_reworked:has_structure/regular_tower, wabi_sabi_structures:has_structure/monster_egg, formationsoverworld:has_structure/small_house, betterstrongholds:has_structure/better_stronghold, nova_structures:collections/overworld, philipsruins:has_structure/pumpkin_ruins_biomes, minecraft:has_structure/portal_deepslate, mvs:has_structure/birch_biomes, naturalist:has_finch, philipsruins:has_structure/ancient_dungeon_biomes, mostructures:collections/any_forests, naturalist:has_deer, mvs:has_structure/overworld_biomes, spectrum:has_structure/pedestal_ruins, forsaken:has_structure/wells/pit/cobble, philipsruins:has_structure/ancient_towers_biomes, nova_structures:collection/stronghold_related_ruins_biomes, c:is_overworld, nova_structures:collections/any_forests, supplementaries:has_way_signs, towns_and_towers:has_structure/village_birch_forest_romanian, wabi_sabi_structures:has_structure/carrot_patch, c:tree_deciduous, minecraft:has_structure/mineshaft, naturalist:has_lizard, forsaken:has_structure/wells/rustic/birch, minecraft:is_forest, towns_and_towers:has_structure/pillager_outpost_birch_forest, c:birch_forest, formationsoverworld:has_structure/stone_ore_spikes, philipsruins:has_structure/lost_soul_city_biomes, naturalist:has_robin, formationsoverworld:has_structure/campsite, formationsoverworld:has_structure/tiny_house"
5,"spectrum:black_langast","minecraft:without_patrol_spawns, spectrum:has_structure/forsaken_cathedral, spectrum:in_deeper_down, minecraft:without_wandering_trader_spawns, minecraft:without_zombie_sieges"
6,"minecraft:cherry_grove","hybrid-aquatic:cherry, nova_structures:collections/mountains, nova_structures:collections/overworld, philipsruins:has_structure/ancient_dungeon_biomes, c:in_overworld, minecraft:is_overworld, philipsruins:has_structure/ancient_ruins_biomes, wabi_sabi_structures:has_structure/bee_farm_cherry, c:is_mountain, c:is_mountain/slope, forsaken:has_structure/wells/pump/bamboo, philipsruins:has_structure/ancient_towers_biomes, spectrum:has_structure/pedestal_ruins, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_wild_flax, endermanoverhaul:flower_fields_spawns, wabi_sabi_structures:has_structure/monster_egg, naturalist:has_canary, c:floral, naturalist:has_deer, minecraft:has_structure/mineshaft, mvs:has_structure/mountain_biomes, formationsoverworld:has_structure/stone_ore_spikes, spectrum:has_structure/preservation_ruins, towns_and_towers:has_structure/village_flower_forest_japanese, naturalist:has_sparrow, forsaken:has_structure/wells/oriental, endermanoverhaul:all_spawns, supplementaries:has_cave_urns, c:is_floral, spectrum:colored_trees_generating_in, c:is_overworld, nova_structures:collections/cherry_forests, naturalist:has_robin, supplementaries:has_way_signs, endermanoverhaul:cave_spawns, minecraft:is_mountain, naturalist:has_snail, betterstrongholds:has_structure/better_stronghold, spectral_seas:no_amethyst, philipsruins:has_structure/bone_dungeon_biomes, totw_reworked:has_structure/derelict_grass_tower, c:mountain, rottencreatures:can_undead_miner_spawn_on, mvs:has_structure/cherry_biomes, totw_reworked:has_structure/derelict_tower, forsaken:has_structure/homes/oriental, nova_structures:collections/floral, minecraft:has_structure/portal_deepslate, mostructures:collections/mountains, wabi_sabi_structures:has_structure/hide_tannery_cherry, formationsoverworld:has_structure/stone_tower, philipsruins:has_structure/lost_soul_city_biomes, towns_and_towers:has_structure/pillager_outpost_flower_forest, totw_reworked:has_structure/regular_tower"
7,"minecraft:cold_ocean","c:is_wet/overworld, c:shallow_ocean, zhopo:has_structure/underwater_small_ruins, spectrum:mermaids_brushes_generating_in, c:aquatic, c:is_shallow_ocean, spectrum:has_structure/pedestal_ruins, c:is_cold, c:is_overworld, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_way_signs, c:is_water, nova_structures:collections/overworld, c:is_aquatic, c:ocean, spectral_seas:no_amethyst, supplementaries:has_cave_urns, c:is_wet, minecraft:water_on_map_outlines, minecraft:is_overworld, c:climate_wet, hybrid-aquatic:shallow_cold_oceans, c:is_cold/overworld, minecraft:has_structure/shipwreck, spectrum:has_structure/preservation_ruins, totw_reworked:has_structure/ocean_tower, mostructures:collections/oceans, hybrid-aquatic:cold_oceans, c:in_overworld, unseaworthy:sinks_boats, wabi_sabi_structures:has_structure/monster_egg, c:is_ocean, formationsoverworld:has_structure/raft, minecraft:required_ocean_monument_surrounding, supplementaries:has_wild_flax, minecraft:has_structure/ocean_ruin_cold, minecraft:is_ocean, philipsruins:has_structure/ancient_dungeon_biomes, minecraft:has_structure/mineshaft, towns_and_towers:has_structure/shallow_oceans_wreckage, philipsruins:has_structure/ocean_ruins_biomes, rottencreatures:can_undead_miner_spawn_on, minecraft:plays_underwater_music, nova_structures:collections/oceans"
8,"minecraft:crimson_forest","c:climate_dry, mvs:has_structure/crimson_biomes, c:is_nether_forest, c:is_dry, wabi_sabi_structures:has_structure/obsidian_egg, nova_structures:collections/nether, endermanoverhaul:all_spawns, minecraft:has_structure/bastion_remnant, mostructures:collections/nether, minecraft:snow_golem_melts, zhopo:has_structure/piglin_ruin, c:climate_hot, c:is_hot/nether, minecraft:has_structure/ruined_portal_nether, c:is_hot, c:in_nether, philipsruins:has_structure/start_nether_dungeon_biomes, philipsruins:has_structure/nether_structures_biomes, c:is_dry/nether, minecraft:is_nether, c:is_hot/overworld, wabi_sabi_structures:has_structure/hellish_orphanage, nova_structures:collections/nether_crimson_forests, mvs:has_structure/nether_biomes, minecraft:spawns_warm_variant_frogs, endermanoverhaul:crimson_forest_spawns, mostructures:collections/nether_crimson_forests, c:is_dry/overworld, c:nether_forests, c:is_nether, minecraft:has_structure/nether_fortress"
9,"galosphere:crystal_canyons","wabi_sabi_structures:has_structure/monster_egg, spectral_seas:no_amethyst, minecraft:stronghold_biased_to, wabi_sabi_structures:has_structure/bat_monolith, minecraft:has_structure/mineshaft, minecraft:has_structure/portal_deepslate, spectrum:has_structure/pedestal_ruins"
