"Registry name","Map color (hex)","Map color (int)"
"archeologyplus:crumbling_red_sandstone","#D87F33","14188339"
"archeologyplus:crumbling_sandstone","#F7E9A3","16247203"
"archeologyplus:loot_pot","#8E3C2E","9321518"
"archeologyplus:red_sandstone_hieroglyphs","#D87F33","14188339"
"archeologyplus:sandstone_hieroglyphs","#F7E9A3","16247203"
"archeologyplus:suspicious_dirt","#976D4D","9923917"
"archeologyplus:suspicious_red_sand","#D87F33","14188339"
"archeologyplus:suspicious_soul_sand","#664C33","6704179"
"chalk:black_chalk_mark","#000000","0"
"chalk:black_glow_chalk_mark","#000000","0"
"chalk:blue_chalk_mark","#000000","0"
"chalk:blue_glow_chalk_mark","#000000","0"
"chalk:brown_chalk_mark","#000000","0"
"chalk:brown_glow_chalk_mark","#000000","0"
"chalk:chalk_mark","#000000","0"
"chalk:cyan_chalk_mark","#000000","0"
"chalk:cyan_glow_chalk_mark","#000000","0"
"chalk:glow_chalk_mark","#000000","0"
"chalk:gray_chalk_mark","#000000","0"
"chalk:gray_glow_chalk_mark","#000000","0"
"chalk:green_chalk_mark","#000000","0"
"chalk:green_glow_chalk_mark","#000000","0"
"chalk:light_blue_chalk_mark","#000000","0"
"chalk:light_blue_glow_chalk_mark","#000000","0"
"chalk:light_gray_chalk_mark","#000000","0"
"chalk:light_gray_glow_chalk_mark","#000000","0"
"chalk:lime_chalk_mark","#000000","0"
"chalk:lime_glow_chalk_mark","#000000","0"
"chalk:magenta_chalk_mark","#000000","0"
"chalk:magenta_glow_chalk_mark","#000000","0"
"chalk:orange_chalk_mark","#000000","0"
"chalk:orange_glow_chalk_mark","#000000","0"
"chalk:pink_chalk_mark","#000000","0"
"chalk:pink_glow_chalk_mark","#000000","0"
"chalk:purple_chalk_mark","#000000","0"
"chalk:purple_glow_chalk_mark","#000000","0"
"chalk:red_chalk_mark","#000000","0"
"chalk:red_glow_chalk_mark","#000000","0"
"chalk:yellow_chalk_mark","#000000","0"
"chalk:yellow_glow_chalk_mark","#000000","0"
"comforts:hammock_black","#C7C7C7","13092807"
"comforts:hammock_blue","#C7C7C7","13092807"
"comforts:hammock_brown","#C7C7C7","13092807"
"comforts:hammock_cyan","#C7C7C7","13092807"
"comforts:hammock_gray","#C7C7C7","13092807"
"comforts:hammock_green","#C7C7C7","13092807"
"comforts:hammock_light_blue","#C7C7C7","13092807"
"comforts:hammock_light_gray","#C7C7C7","13092807"
"comforts:hammock_lime","#C7C7C7","13092807"
"comforts:hammock_magenta","#C7C7C7","13092807"
"comforts:hammock_orange","#C7C7C7","13092807"
"comforts:hammock_pink","#C7C7C7","13092807"
"comforts:hammock_purple","#C7C7C7","13092807"
"comforts:hammock_red","#C7C7C7","13092807"
