"Mod name","Registry name","Hardness","Resistance"
"Minecraft","minecraft:acacia_button",0.50,0.50
"Minecraft","minecraft:acacia_door",3.00,3.00
"Minecraft","minecraft:acacia_fence",2.00,3.00
"Minecraft","minecraft:acacia_fence_gate",2.00,3.00
"Minecraft","minecraft:acacia_hanging_sign",1.00,1.00
"Minecraft","minecraft:acacia_leaves",0.20,0.20
"Minecraft","minecraft:acacia_log",2.00,2.00
"Minecraft","minecraft:acacia_planks",2.00,3.00
"Minecraft","minecraft:acacia_pressure_plate",0.50,0.50
"Minecraft","minecraft:acacia_sapling",0.00,0.00
"Minecraft","minecraft:acacia_sign",1.00,1.00
"Minecraft","minecraft:acacia_slab",2.00,3.00
"Minecraft","minecraft:acacia_stairs",2.00,3.00
"Minecraft","minecraft:acacia_trapdoor",3.00,3.00
"Minecraft","minecraft:acacia_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:acacia_wall_sign",1.00,1.00
"Minecraft","minecraft:acacia_wood",2.00,2.00
"Minecraft","minecraft:activator_rail",0.70,0.70
"Minecraft","minecraft:air",0.00,0.00
"Minecraft","minecraft:allium",0.00,0.00
"Minecraft","minecraft:amethyst_block",1.50,1.50
"Minecraft","minecraft:amethyst_cluster",1.50,1.50
"Minecraft","minecraft:ancient_debris",30.00,1200.00
"Minecraft","minecraft:andesite",1.50,6.00
"Minecraft","minecraft:andesite_slab",1.50,6.00
"Minecraft","minecraft:andesite_stairs",1.50,6.00
"Minecraft","minecraft:andesite_wall",1.50,6.00
"Minecraft","minecraft:anvil",5.00,1200.00
"Minecraft","minecraft:attached_melon_stem",0.00,0.00
"Minecraft","minecraft:attached_pumpkin_stem",0.00,0.00
"Minecraft","minecraft:azalea",0.00,0.00
"Minecraft","minecraft:azalea_leaves",0.20,0.20
"Minecraft","minecraft:azure_bluet",0.00,0.00
"Minecraft","minecraft:bamboo",1.00,1.00
"Minecraft","minecraft:bamboo_block",2.00,2.00
"Minecraft","minecraft:bamboo_button",0.50,0.50
"Minecraft","minecraft:bamboo_door",3.00,3.00
"Minecraft","minecraft:bamboo_fence",2.00,3.00
"Minecraft","minecraft:bamboo_fence_gate",2.00,3.00
"Minecraft","minecraft:bamboo_hanging_sign",1.00,1.00
"Minecraft","minecraft:bamboo_mosaic",2.00,3.00
"Minecraft","minecraft:bamboo_mosaic_slab",2.00,3.00
"Minecraft","minecraft:bamboo_mosaic_stairs",2.00,3.00
"Minecraft","minecraft:bamboo_planks",2.00,3.00
"Minecraft","minecraft:bamboo_pressure_plate",0.50,0.50
"Minecraft","minecraft:bamboo_sapling",1.00,1.00
"Minecraft","minecraft:bamboo_sign",1.00,1.00
"Minecraft","minecraft:bamboo_slab",2.00,3.00
"Minecraft","minecraft:bamboo_stairs",2.00,3.00
"Minecraft","minecraft:bamboo_trapdoor",3.00,3.00
"Minecraft","minecraft:bamboo_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:bamboo_wall_sign",1.00,1.00
"Minecraft","minecraft:barrel",2.50,2.50
"Minecraft","minecraft:barrier",-1.00,3600000.75
"Minecraft","minecraft:basalt",1.25,4.20
"Minecraft","minecraft:beacon",3.00,3.00
"Minecraft","minecraft:bedrock",-1.00,3600000.00
"Minecraft","minecraft:bee_nest",0.30,0.30
"Minecraft","minecraft:beehive",0.60,0.60
"Minecraft","minecraft:beetroots",0.00,0.00
"Minecraft","minecraft:bell",5.00,5.00
"Minecraft","minecraft:big_dripleaf",0.10,0.10
"Minecraft","minecraft:big_dripleaf_stem",0.10,0.10
"Minecraft","minecraft:birch_button",0.50,0.50
"Minecraft","minecraft:birch_door",3.00,3.00
"Minecraft","minecraft:birch_fence",2.00,3.00
"Minecraft","minecraft:birch_fence_gate",2.00,3.00
"Minecraft","minecraft:birch_hanging_sign",1.00,1.00
"Minecraft","minecraft:birch_leaves",0.20,0.20
"Minecraft","minecraft:birch_log",2.00,2.00
"Minecraft","minecraft:birch_planks",2.00,3.00
"Minecraft","minecraft:birch_pressure_plate",0.50,0.50
"Minecraft","minecraft:birch_sapling",0.00,0.00
"Minecraft","minecraft:birch_sign",1.00,1.00
"Minecraft","minecraft:birch_slab",2.00,3.00
"Minecraft","minecraft:birch_stairs",2.00,3.00
"Minecraft","minecraft:birch_trapdoor",3.00,3.00
"Minecraft","minecraft:birch_wall_hanging_sign",1.00,1.00
