"Mod name","Registry name","Item ID","Display name","Tags"
"Minecraft","minecraft:acacia_button","minecraft:acacia_button","Acacia Button","dynamiccrosshair:always_interactable, dynamiccrosshair:interactable, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:buttons, spectrum:multitool_mineable, minecraft:wooden_buttons"
"Minecraft","minecraft:acacia_door","minecraft:acacia_door","Acacia Door","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, dynamiccrosshair:always_interactable, minecraft:doors, dynamiccrosshair:interactable, minecraft:wooden_doors, artifacts:mineable/digging_claws, selfish_villager:interactable_property, minecraft:mineable/axe"
"Minecraft","minecraft:acacia_fence","minecraft:acacia_fence","Acacia Fence","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, minecraft:wooden_fences, c:wooden_fences, supplementaries:posts, minecraft:fences, c:fences, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:acacia_fence_gate","minecraft:acacia_fence_gate","Acacia Fence Gate","overworldify:everything_but_water, minecraft:unstable_bottom_center, spectrum:multitool_mineable, dynamiccrosshair:always_interactable, c:wooden_fence_gates, minecraft:fence_gates, c:fence_gates, dynamiccrosshair:interactable, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:acacia_hanging_sign","minecraft:acacia_hanging_sign","Acacia Hanging Sign","minecraft:all_hanging_signs, supplementaries:hang_from_ropes, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:ceiling_hanging_signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:acacia_leaves","minecraft:acacia_leaves","Acacia Leaves","minecraft:leaves, spectrum:multitool_mineable, naturalist:butterflies_spawnable_on, minecraft:replaceable_by_trees, supplementaries:map_tint_foliage_color, naturalist:vultures_spawnable_on, spectrum:decay/fading_conversions, minecraft:completes_find_tree_tutorial, artifacts:mineable/digging_claws, naturalist:fireflies_spawnable_on, minecraft:parrots_spawnable_on, minecraft:sword_efficient, overworldify:everything_but_water, supplementaries:map_tint_generic, naturalist:vulture_perch_blocks, minecraft:mineable/hoe, supplementaries:hang_from_ropes, minecraft:lava_pool_stone_cannot_replace, naturalist:dragonflies_spawnable_on"
"Minecraft","minecraft:acacia_log","minecraft:acacia_log","Acacia Log","minecraft:parrots_spawnable_on, minecraft:logs_that_burn, minecraft:acacia_logs, spectrum:multitool_mineable, minecraft:completes_find_tree_tutorial, minecraft:boulders_cannot_replace, minecraft:logs, minecraft:snaps_goat_horn, minecraft:overworld_natural_logs, overworldify:everything_but_water, minecraft:lava_pool_stone_cannot_replace, minecraft:mineable/axe, artifacts:mineable/digging_claws"
"Minecraft","minecraft:acacia_planks","minecraft:acacia_planks","Acacia Planks","minecraft:planks, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:acacia_pressure_plate","minecraft:acacia_pressure_plate","Acacia Pressure Plate","minecraft:mineable/axe, minecraft:wall_post_override, spectrum:multitool_mineable, minecraft:wooden_pressure_plates, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:pressure_plates"
"Minecraft","minecraft:acacia_sapling","minecraft:acacia_sapling","Acacia Sapling","artifacts:mineable/digging_claws, minecraft:saplings, minecraft:mineable/axe, minecraft:sword_efficient, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:acacia_sign","minecraft:acacia_sign","Acacia Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:standing_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:acacia_slab","minecraft:acacia_slab","Acacia Slab","minecraft:slabs, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wooden_slabs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, spectrum:building_staffs_blacklisted"
"Minecraft","minecraft:acacia_stairs","minecraft:acacia_stairs","Acacia Stairs","minecraft:mineable/axe, minecraft:stairs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:wooden_stairs"
"Minecraft","minecraft:acacia_trapdoor","minecraft:acacia_trapdoor","Acacia Trapdoor","dynamiccrosshair:always_interactable, minecraft:mineable/axe, spectrum:multitool_mineable, dynamiccrosshair:interactable, overworldify:everything_but_water, minecraft:wooden_trapdoors, artifacts:mineable/digging_claws, minecraft:trapdoors, minecraft:boulders_cannot_replace"
"Minecraft","minecraft:acacia_wall_hanging_sign","minecraft:acacia_hanging_sign","Acacia Hanging Sign","minecraft:mineable/axe, minecraft:all_signs, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:all_hanging_signs, minecraft:wall_hanging_signs"
"Minecraft","minecraft:acacia_wall_sign","minecraft:acacia_sign","Acacia Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wall_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:acacia_wood","minecraft:acacia_wood","Acacia Wood","minecraft:lava_pool_stone_cannot_replace, overworldify:everything_but_water, minecraft:parrots_spawnable_on, spectrum:multitool_mineable, minecraft:acacia_logs, minecraft:logs_that_burn, minecraft:boulders_cannot_replace, minecraft:completes_find_tree_tutorial, minecraft:mineable/axe, artifacts:mineable/digging_claws, minecraft:logs"
"Minecraft","minecraft:activator_rail","minecraft:activator_rail","Activator Rail","minecraft:mineable/pickaxe, c:rails/activator, spectrum:multitool_mineable, artifacts:mineable/digging_claws, minecraft:rails, overworldify:everything_but_water, minecraft:prevent_mob_spawning_inside"
"Minecraft","minecraft:air","","Air","minecraft:parrots_spawnable_on, overworldify:everything_but_water, yigd:replace_soft_whitelist, minecraft:replaceable, minecraft:enchantment_power_transmitter, naturalist:vultures_spawnable_on, naturalist:butterflies_spawnable_on, spectrum:downstone_patch_replaceables"
