"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Minecraft","comforts:rope_and_nail",1379,"Rope and Nail","minecraft:kjs/comforts_rope_and_nail",""
"Minecraft","mermod:sea_crystal",2045,"Sea Crystal","minecraft:kjs/mermod_sea_crystal",""
"Minecraft","mermod:sea_necklace",2044,"Sea Necklace","minecraft:kjs/mermod_sea_necklace","curios:necklace, trinkets:chest/necklace"
"Minecraft","minecraft:acacia_boat",744,"Acacia Boat","minecraft:acacia_boat","minecraft:boats, dynamiccrosshair:blocks"
"Minecraft","minecraft:acacia_button",666,"Acacia Button","minecraft:acacia_button","minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:acacia_chest_boat",745,"Acacia Boat with Chest","minecraft:acacia_chest_boat","minecraft:chest_boats, dynamiccrosshair:blocks, minecraft:boats"
"Minecraft","minecraft:acacia_door",693,"Acacia Door","minecraft:acacia_door","minecraft:wooden_doors, minecraft:doors"
"Minecraft","minecraft:acacia_fence",293,"Acacia Fence","minecraft:acacia_fence","spectrum:no_cinderhearth_doubling, c:fences, minecraft:wooden_fences, c:wooden_fences, minecraft:fences"
"Minecraft","minecraft:acacia_fence_gate",716,"Acacia Fence Gate","minecraft:acacia_fence_gate","c:wooden_fence_gates, minecraft:fence_gates, c:fence_gates"
"Minecraft","minecraft:acacia_hanging_sign",861,"Acacia Hanging Sign","minecraft:acacia_hanging_sign","minecraft:hanging_signs"
"Minecraft","minecraft:acacia_planks",27,"Acacia Planks","minecraft:acacia_planks","minecraft:planks"
"Minecraft","minecraft:acacia_pressure_plate",681,"Acacia Pressure Plate","minecraft:acacia_pressure_plate","minecraft:wooden_pressure_plates"
"Minecraft","minecraft:acacia_sign",850,"Acacia Sign","minecraft:acacia_sign","minecraft:signs"
"Minecraft","minecraft:acacia_slab",234,"Acacia Slab","minecraft:acacia_slab","spectrum:no_cinderhearth_doubling, minecraft:wooden_slabs, minecraft:slabs"
"Minecraft","minecraft:acacia_stairs",365,"Acacia Stairs","minecraft:acacia_stairs","spectrum:no_cinderhearth_doubling, minecraft:stairs, minecraft:wooden_stairs"
"Minecraft","minecraft:acacia_trapdoor",705,"Acacia Trapdoor","minecraft:acacia_trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Minecraft","minecraft:acacia_wood",148,"Acacia Wood","minecraft:acacia_wood","minecraft:logs_that_burn, minecraft:logs, minecraft:acacia_logs, minecraft:completes_find_tree_tutorial"
