"Mod name","Registry name","Item ID","Display name","Tags"
"Minecraft","minecraft:acacia_boat",744,"Acacia Boat","minecraft:boats, dynamiccrosshair:blocks"
"Minecraft","minecraft:acacia_button",666,"Acacia Button","minecraft:buttons, minecraft:wooden_buttons"
"Minecraft","minecraft:acacia_chest_boat",745,"Acacia Boat with Chest","minecraft:chest_boats, dynamiccrosshair:blocks, minecraft:boats"
"Minecraft","minecraft:acacia_door",693,"Acacia Door","minecraft:wooden_doors, minecraft:doors"
"Minecraft","minecraft:acacia_fence",293,"Acacia Fence","spectrum:no_cinderhearth_doubling, c:fences, minecraft:wooden_fences, c:wooden_fences, minecraft:fences"
"Minecraft","minecraft:acacia_fence_gate",716,"Acacia Fence Gate","c:wooden_fence_gates, minecraft:fence_gates, c:fence_gates"
"Minecraft","minecraft:acacia_hanging_sign",861,"Acacia Hanging Sign","minecraft:hanging_signs"
"Minecraft","minecraft:acacia_leaves",158,"Acacia Leaves","minecraft:completes_find_tree_tutorial, minecraft:leaves"
"Minecraft","minecraft:acacia_log",114,"Acacia Log","minecraft:logs_that_burn, minecraft:logs, minecraft:acacia_logs, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:acacia_planks",27,"Acacia Planks","minecraft:planks"
"Minecraft","minecraft:acacia_pressure_plate",681,"Acacia Pressure Plate","minecraft:wooden_pressure_plates"
"Minecraft","minecraft:acacia_sapling",39,"Acacia Sapling","minecraft:saplings, supplementaries:flower_box_plantable"
"Minecraft","minecraft:acacia_sign",850,"Acacia Sign","minecraft:signs"
"Minecraft","minecraft:acacia_slab",234,"Acacia Slab","spectrum:no_cinderhearth_doubling, minecraft:wooden_slabs, minecraft:slabs"
"Minecraft","minecraft:acacia_stairs",365,"Acacia Stairs","spectrum:no_cinderhearth_doubling, minecraft:stairs, minecraft:wooden_stairs"
"Minecraft","minecraft:acacia_trapdoor",705,"Acacia Trapdoor","minecraft:wooden_trapdoors, minecraft:trapdoors"
"Minecraft","minecraft:acacia_wood",148,"Acacia Wood","minecraft:logs_that_burn, minecraft:logs, minecraft:acacia_logs, minecraft:completes_find_tree_tutorial"
"Minecraft","minecraft:activator_rail",726,"Activator Rail","minecraft:rails"
"Minecraft","minecraft:air",0,"",""
"Minecraft","minecraft:allay_spawn_egg",967,"Allay Spawn Egg",""
"Minecraft","minecraft:allium",199,"Allium","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Minecraft","minecraft:amethyst_block",72,"Block of Amethyst","c:storage_blocks, c:amethyst_blocks, spectrum:amethyst_crystals"
"Minecraft","minecraft:amethyst_cluster",1210,"Amethyst Cluster","c:clusters, spectrum:amethyst_crystals, spectrum:gemstone_clusters"
"Minecraft","minecraft:amethyst_shard",768,"Amethyst Shard","minecraft:trim_materials, minecraft:beacon_payment_items, spectrum:gemstone_shards, spectrum:amethyst_crystals, balm:gems, c:amethyst, c:gems"
"Minecraft","minecraft:ancient_debris",67,"Ancient Debris","c:netherite_scrap_ores, c:ore_rates/singular, c:ores, balm:ores"
"Minecraft","minecraft:andesite",6,"Andesite","c:stone, c:stones, bookshelf:stones, balm:stones"
"Minecraft","minecraft:andesite_slab",626,"Andesite Slab","spectrum:no_cinderhearth_doubling, minecraft:slabs"
"Minecraft","minecraft:andesite_stairs",609,"Andesite Stairs","spectrum:no_cinderhearth_doubling, minecraft:stairs"
"Minecraft","minecraft:andesite_wall",385,"Andesite Wall","spectrum:no_cinderhearth_doubling, minecraft:walls"
"Minecraft","minecraft:angler_pottery_sherd",1235,"Angler Pottery Sherd","minecraft:decorated_pot_sherds, minecraft:decorated_pot_ingredients"
"Minecraft","minecraft:anvil",397,"Anvil","minecraft:anvil"
"Minecraft","minecraft:apple",759,"Apple","c:foods, c:fruits, dynamiccrosshair:usable, naturalist:giraffe_food_items"
"Minecraft","minecraft:archer_pottery_sherd",1236,"Archer Pottery Sherd","minecraft:decorated_pot_sherds, minecraft:decorated_pot_ingredients"
