"Mod name","Registry name","Item ID","Display name"
"Minecraft","minecraft:acacia_boat",744,"Acacia Boat"
"Minecraft","minecraft:acacia_button",666,"Acacia Button"
"Minecraft","minecraft:acacia_chest_boat",745,"Acacia Boat with Chest"
"Minecraft","minecraft:acacia_door",693,"Acacia Door"
"Minecraft","minecraft:acacia_fence",293,"Acacia Fence"
"Minecraft","minecraft:acacia_fence_gate",716,"Acacia Fence Gate"
"Minecraft","minecraft:acacia_hanging_sign",861,"Acacia Hanging Sign"
"Minecraft","minecraft:acacia_leaves",158,"Acacia Leaves"
"Minecraft","minecraft:acacia_log",114,"Acacia Log"
"Minecraft","minecraft:acacia_planks",27,"Acacia Planks"
"Minecraft","minecraft:acacia_pressure_plate",681,"Acacia Pressure Plate"
"Minecraft","minecraft:acacia_sapling",39,"Acacia Sapling"
"Minecraft","minecraft:acacia_sign",850,"Acacia Sign"
"Minecraft","minecraft:acacia_slab",234,"Acacia Slab"
"Minecraft","minecraft:acacia_stairs",365,"Acacia Stairs"
"Minecraft","minecraft:acacia_trapdoor",705,"Acacia Trapdoor"
"Minecraft","minecraft:acacia_wood",148,"Acacia Wood"
"Minecraft","minecraft:activator_rail",726,"Activator Rail"
"Minecraft","minecraft:air",0,""
"Minecraft","minecraft:allay_spawn_egg",967,"Allay Spawn Egg"
"Minecraft","minecraft:allium",199,"Allium"
"Minecraft","minecraft:amethyst_block",72,"Block of Amethyst"
"Minecraft","minecraft:amethyst_cluster",1210,"Amethyst Cluster"
"Minecraft","minecraft:amethyst_shard",768,"Amethyst Shard"
"Minecraft","minecraft:ancient_debris",67,"Ancient Debris"
"Minecraft","minecraft:andesite",6,"Andesite"
"Minecraft","minecraft:andesite_slab",626,"Andesite Slab"
"Minecraft","minecraft:andesite_stairs",609,"Andesite Stairs"
"Minecraft","minecraft:andesite_wall",385,"Andesite Wall"
"Minecraft","minecraft:angler_pottery_sherd",1235,"Angler Pottery Sherd"
"Minecraft","minecraft:anvil",397,"Anvil"
"Minecraft","minecraft:apple",759,"Apple"
"Minecraft","minecraft:archer_pottery_sherd",1236,"Archer Pottery Sherd"
"Minecraft","minecraft:armor_stand",1077,"Armor Stand"
"Minecraft","minecraft:arms_up_pottery_sherd",1237,"Arms Up Pottery Sherd"
"Minecraft","minecraft:arrow",761,"Arrow"
"Minecraft","minecraft:axolotl_bucket",879,"Bucket of Axolotl"
"Minecraft","minecraft:axolotl_spawn_egg",968,"Axolotl Spawn Egg"
"Minecraft","minecraft:azalea",175,"Azalea"
"Minecraft","minecraft:azalea_leaves",162,"Azalea Leaves"
"Minecraft","minecraft:azure_bluet",200,"Azure Bluet"
"Minecraft","minecraft:baked_potato",1053,"Baked Potato"
"Minecraft","minecraft:bamboo",229,"Bamboo"
"Minecraft","minecraft:bamboo_block",122,"Block of Bamboo"
"Minecraft","minecraft:bamboo_button",670,"Bamboo Button"
"Minecraft","minecraft:bamboo_chest_raft",753,"Bamboo Raft with Chest"
"Minecraft","minecraft:bamboo_door",697,"Bamboo Door"
"Minecraft","minecraft:bamboo_fence",297,"Bamboo Fence"
"Minecraft","minecraft:bamboo_fence_gate",720,"Bamboo Fence Gate"
"Minecraft","minecraft:bamboo_hanging_sign",865,"Bamboo Hanging Sign"
"Minecraft","minecraft:bamboo_mosaic",34,"Bamboo Mosaic"
"Minecraft","minecraft:bamboo_mosaic_slab",239,"Bamboo Mosaic Slab"
"Minecraft","minecraft:bamboo_mosaic_stairs",370,"Bamboo Mosaic Stairs"
"Minecraft","minecraft:bamboo_planks",31,"Bamboo Planks"
"Minecraft","minecraft:bamboo_pressure_plate",685,"Bamboo Pressure Plate"
"Minecraft","minecraft:bamboo_raft",752,"Bamboo Raft"
"Minecraft","minecraft:bamboo_sign",854,"Bamboo Sign"
"Minecraft","minecraft:bamboo_slab",238,"Bamboo Slab"
"Minecraft","minecraft:bamboo_stairs",369,"Bamboo Stairs"
"Minecraft","minecraft:bamboo_trapdoor",709,"Bamboo Trapdoor"
"Minecraft","minecraft:barrel",1154,"Barrel"
"Minecraft","minecraft:barrier",421,"Barrier"
"Minecraft","minecraft:basalt",306,"Basalt"
"Minecraft","minecraft:bat_spawn_egg",969,"Bat Spawn Egg"
"Minecraft","minecraft:beacon",374,"Beacon"
"Minecraft","minecraft:bedrock",43,"Bedrock"
"Minecraft","minecraft:bee_nest",1171,"Bee Nest"
"Minecraft","minecraft:bee_spawn_egg",970,"Bee Spawn Egg"
"Minecraft","minecraft:beef",947,"Raw Beef"
"Minecraft","minecraft:beehive",1172,"Beehive"
"Minecraft","minecraft:beetroot",1108,"Beetroot"
"Minecraft","minecraft:beetroot_seeds",1109,"Beetroot Seeds"
"Minecraft","minecraft:beetroot_soup",1110,"Beetroot Soup"
"Minecraft","minecraft:bell",1162,"Bell"
"Minecraft","minecraft:big_dripleaf",227,"Big Dripleaf"
"Minecraft","minecraft:birch_boat",740,"Birch Boat"
"Minecraft","minecraft:birch_button",664,"Birch Button"
"Minecraft","minecraft:birch_chest_boat",741,"Birch Boat with Chest"
"Minecraft","minecraft:birch_door",691,"Birch Door"
"Minecraft","minecraft:birch_fence",291,"Birch Fence"
"Minecraft","minecraft:birch_fence_gate",714,"Birch Fence Gate"
"Minecraft","minecraft:birch_hanging_sign",859,"Birch Hanging Sign"
"Minecraft","minecraft:birch_leaves",156,"Birch Leaves"
"Minecraft","minecraft:birch_log",112,"Birch Log"
"Minecraft","minecraft:birch_planks",25,"Birch Planks"
"Minecraft","minecraft:birch_pressure_plate",679,"Birch Pressure Plate"
"Minecraft","minecraft:birch_sapling",37,"Birch Sapling"
"Minecraft","minecraft:birch_sign",848,"Birch Sign"
"Minecraft","minecraft:birch_slab",232,"Birch Slab"
"Minecraft","minecraft:birch_stairs",363,"Birch Stairs"
"Minecraft","minecraft:birch_trapdoor",703,"Birch Trapdoor"
"Minecraft","minecraft:birch_wood",146,"Birch Wood"
"Minecraft","minecraft:black_banner",1102,"Black Banner"
"Minecraft","minecraft:black_bed",939,"Black Bed"
"Minecraft","minecraft:black_candle",1206,"Black Candle"
"Minecraft","minecraft:black_carpet",439,"Black Carpet"
"Minecraft","minecraft:black_concrete",548,"Black Concrete"
"Minecraft","minecraft:black_concrete_powder",564,"Black Concrete Powder"
"Minecraft","minecraft:black_dye",919,"Black Dye"
"Minecraft","minecraft:black_glazed_terracotta",532,"Black Glazed Terracotta"
"Minecraft","minecraft:black_shulker_box",516,"Black Shulker Box"
"Minecraft","minecraft:black_stained_glass",464,"Black Stained Glass"
"Minecraft","minecraft:black_stained_glass_pane",480,"Black Stained Glass Pane"
"Minecraft","minecraft:black_terracotta",420,"Black Terracotta"
"Minecraft","minecraft:black_wool",195,"Black Wool"
"Minecraft","minecraft:blackstone",1177,"Blackstone"
"Minecraft","minecraft:blackstone_slab",1178,"Blackstone Slab"
"Minecraft","minecraft:blackstone_stairs",1179,"Blackstone Stairs"
"Minecraft","minecraft:blackstone_wall",390,"Blackstone Wall"
"Minecraft","minecraft:blade_pottery_sherd",1238,"Blade Pottery Sherd"
"Minecraft","minecraft:blast_furnace",1156,"Blast Furnace"
"Minecraft","minecraft:blaze_powder",961,"Blaze Powder"
"Minecraft","minecraft:blaze_rod",953,"Blaze Rod"
"Minecraft","minecraft:blaze_spawn_egg",971,"Blaze Spawn Egg"
"Minecraft","minecraft:blue_banner",1098,"Blue Banner"
"Minecraft","minecraft:blue_bed",935,"Blue Bed"
"Minecraft","minecraft:blue_candle",1202,"Blue Candle"
